"countyfips","gps_workplaces"
29181,NA
29183,-0.29
29185,NA
29186,-0.221
29187,-0.0629
29189,-0.186
29195,0.0614
29201,-0.0614
29203,NA
29207,-0.13
29209,-0.0871
29211,NA
29213,0.0829
29215,-0.0614
29217,-0.0443
29219,-0.16
29221,-0.0514
29223,NA
29225,-0.0486
29229,-0.0843
29510,-0.22
30001,NA
30003,-0.127
30007,NA
30009,NA
30013,-0.196
30017,NA
30021,NA
30023,NA
30027,NA
30029,-0.0971
30031,-0.167
30035,NA
30041,-0.0786
30043,NA
30047,-0.03
30049,-0.211
30053,0.0214
30057,NA
30063,-0.141
30067,0.00429
30077,NA
30081,-0.08
30083,NA
30085,NA
30087,NA
30089,NA
30093,-0.201
30095,NA
30105,NA
30111,-0.151
31001,-0.0786
31013,-0.0471
31019,-0.107
31021,NA
31023,NA
31025,-0.106
31027,NA
31033,-0.05
31035,NA
31037,NA
31039,NA
31041,NA
31043,-0.0557
31045,NA
31047,-0.0529
31049,NA
31051,NA
31053,-0.156
31055,-0.141
31059,NA
31067,-0.0171
31079,-0.143
31081,-0.09
31089,NA
31093,NA
31095,NA
31099,NA
31101,-0.0814
31107,NA
31109,-0.0771
31111,-0.09
31119,-0.123
31121,NA
31127,NA
31131,-0.0586
31137,NA
31139,NA
31141,-0.0943
31143,NA
31145,NA
31147,NA
31151,-0.243
31153,-0.2
31155,-0.129
31157,-0.00143
31159,-0.149
31167,NA
31173,NA
31177,-0.0486
31179,NA
31185,0.09
32001,-0.26
32003,-0.204
32005,-0.19
32007,-0.191
32013,-0.05
32015,NA
32019,-0.0414
32023,-0.151
32031,-0.197
32033,NA
32510,-0.16
33001,-0.104
33003,-0.0571
33005,-0.154
33007,-0.04
33009,-0.186
33011,-0.191
33013,-0.161
33015,-0.223
33017,-0.111
33019,-0.0771
34001,-0.2
34003,-0.286
34005,-0.231
34007,-0.201
34009,0.314
34011,-0.163
34013,-0.271
34015,-0.234
34017,-0.29
34019,-0.17
34021,-0.314
34023,-0.243
34025,-0.26
34027,-0.296
34029,-0.223
34031,-0.167
34033,-0.15
34035,-0.216
34037,-0.107
34039,-0.21
34041,-0.249
35001,-0.231
35005,-0.116
35006,-0.19
35007,-0.153
35009,-0.163
35013,-0.169
35015,-0.239
35017,-0.0857
35019,NA
35023,NA
35025,-0.326
35027,-0.149
35028,-0.369
35029,-0.12
35031,-0.141
35035,-0.211
35037,-0.204
35039,-0.0929
35041,-0.14
35043,-0.199
