"year","age","eqwlth","conlegis","degree","racehisp"
2010,59,7,"Only some","HS Diploma","White"
2010,49,4,"Hardly any","Grad/Prof Degree","White"
2010,31,4,"Only some","HS Diploma","White"
2010,36,3,"Only some","HS Diploma","Other"
2010,84,7,"Hardly any","Grad/Prof Degree","White"
2010,71,6,"Hardly any","Less than HS","White"
2010,41,4,"Only some","HS Diploma","White"
2010,56,5,"Only some","HS Diploma","White"
2010,44,7,"Only some","Grad/Prof Degree","White"
2010,39,6,"Hardly any","Bachelor's Degree","White"
2010,41,4,"Only some","Grad/Prof Degree","White"
2010,25,1,"Only some","HS Diploma","Black"
2010,64,5,"Only some","Some College","Black"
2010,21,4,"A great deal","HS Diploma","Black"
2010,21,2,"Only some","HS Diploma","Black"
2010,41,2,"Hardly any","HS Diploma","White"
2010,44,7,"Hardly any","Bachelor's Degree","White"
2010,35,5,"Hardly any","HS Diploma","White"
2010,47,5,"Only some","Some College","Black"
2010,41,5,"Only some","HS Diploma","Black"
2010,65,7,"Hardly any","Grad/Prof Degree","White"
2010,34,7,"Hardly any","Grad/Prof Degree","White"
2010,41,1,"Hardly any","Grad/Prof Degree","Black"
2010,39,3,"Only some","Bachelor's Degree","Black"
2010,56,5,"Only some","HS Diploma","White"
2010,43,4,"Only some","Bachelor's Degree","Hispanic"
2010,29,1,"Only some","Less than HS","Hispanic"
2010,33,7,"Hardly any","HS Diploma","Hispanic"
2010,54,5,"Only some","Grad/Prof Degree","White"
2010,24,2,"Hardly any","HS Diploma","White"
2010,47,7,"Only some","Bachelor's Degree","White"
2010,54,1,"Only some","Less than HS","Hispanic"
2010,37,5,"Only some","Bachelor's Degree","White"
2010,29,4,"Hardly any","Less than HS","Hispanic"
2010,56,5,"Hardly any","HS Diploma","Hispanic"
2010,31,1,"Only some","Less than HS","Hispanic"
2010,33,4,"Hardly any","HS Diploma","Hispanic"
2010,31,1,"Only some","Less than HS","Hispanic"
2010,81,6,"Only some","HS Diploma","White"
2010,78,7,"Hardly any","HS Diploma","White"
2010,89,5,"Hardly any","HS Diploma","White"
2010,18,6,"Hardly any","Less than HS","Hispanic"
2010,40,7,"Hardly any","HS Diploma","White"
2010,74,3,"Only some","HS Diploma","White"
2010,79,5,"Hardly any","Some College","White"
2010,62,1,"Only some","HS Diploma","White"
2010,31,3,"Hardly any","HS Diploma","White"
2010,65,7,"Only some","HS Diploma","Hispanic"
2010,62,2,"Only some","Bachelor's Degree","White"
2010,46,7,"Hardly any","HS Diploma","White"
2010,54,5,"Hardly any","HS Diploma","White"
2010,36,1,"Only some","HS Diploma","Hispanic"
2010,23,2,"Hardly any","HS Diploma","Hispanic"
2010,20,1,"Only some","HS Diploma","Hispanic"
2010,56,6,"A great deal","HS Diploma","White"
2010,25,1,"A great deal","Bachelor's Degree","Hispanic"
2010,30,3,"A great deal","Bachelor's Degree","White"
2010,67,3,"Hardly any","HS Diploma","White"
2010,52,7,"Hardly any","Bachelor's Degree","White"
2010,53,1,"Only some","HS Diploma","White"
2010,32,3,"Only some","Bachelor's Degree","White"
2010,58,1,"Only some","Grad/Prof Degree","White"
2010,43,3,"Hardly any","Bachelor's Degree","White"
2010,57,3,NA,"Less than HS","White"
2010,31,4,"Only some","HS Diploma","Black"
2010,77,2,"Hardly any","Grad/Prof Degree","White"
2010,49,3,"Only some","Bachelor's Degree","White"
2010,44,4,"Only some","HS Diploma","White"
2010,39,5,"Only some","HS Diploma","White"
2010,54,4,"Only some","HS Diploma","White"
2010,56,7,"Only some","Bachelor's Degree","Black"
2010,30,3,"Only some","HS Diploma","Black"
2010,42,2,"Only some","Some College","White"
2010,68,3,"Hardly any","HS Diploma","White"
2010,68,5,"Only some","Less than HS","White"
2010,20,3,"Hardly any","HS Diploma","Black"
2010,52,1,"Hardly any","HS Diploma","White"
2010,27,3,"Only some","Grad/Prof Degree","White"
2010,41,7,"Only some","Bachelor's Degree","White"
2010,75,4,"Only some","HS Diploma","White"
2010,71,6,"Hardly any","HS Diploma","White"
2010,45,7,"Hardly any","HS Diploma","White"
2010,31,4,"Hardly any","Bachelor's Degree","Hispanic"
2010,54,7,"Hardly any","Bachelor's Degree","White"
2010,60,7,"Hardly any","Less than HS","White"
2010,63,6,"Hardly any","HS Diploma","White"
2010,37,4,"Only some","Some College","White"
2010,54,7,NA,"HS Diploma","White"
2010,25,7,"Hardly any","HS Diploma","White"
2010,53,5,"Hardly any","Less than HS","White"
2010,84,7,"Hardly any","Less than HS","White"
2010,26,4,"Only some","HS Diploma","White"
2010,55,4,"Hardly any","HS Diploma","White"
2010,32,4,"Hardly any","Less than HS","Black"
2010,43,4,"Hardly any","Bachelor's Degree","White"
2010,38,4,"A great deal","Bachelor's Degree","White"
2010,65,7,"Hardly any","HS Diploma","White"
2010,67,7,"Hardly any","Less than HS","White"
2010,58,7,"Hardly any","HS Diploma","White"
2010,24,7,"A great deal","HS Diploma","White"
2010,33,7,"Hardly any","HS Diploma","White"
2010,51,7,"Only some","Bachelor's Degree","White"
2010,72,4,"Hardly any","HS Diploma","White"
2010,37,4,"Only some","HS Diploma","White"
2010,55,6,"Hardly any","HS Diploma","White"
2010,38,3,"Only some","Bachelor's Degree","Hispanic"
2010,39,3,"Only some","Less than HS","White"
2010,22,5,"Only some","HS Diploma","White"
2010,21,5,"Only some","HS Diploma","Hispanic"
2010,55,7,"Hardly any","HS Diploma","Hispanic"
2010,42,4,"Only some","HS Diploma","White"
2010,72,4,"Only some","HS Diploma","White"
2010,83,4,"Only some","Less than HS","White"
2010,76,4,"Hardly any","Bachelor's Degree","White"
2010,49,1,"Only some","Less than HS","White"
2010,43,6,"Hardly any","Grad/Prof Degree","White"
2010,32,7,"Hardly any","Bachelor's Degree","White"
2010,27,7,"Hardly any","Bachelor's Degree","Hispanic"
2010,35,4,"Only some","Bachelor's Degree","White"
2010,41,7,"Hardly any","Bachelor's Degree","White"
2010,42,2,"A great deal","Some College","White"
2010,43,7,"Only some","HS Diploma","White"
2010,34,1,"Only some","Grad/Prof Degree","White"
2010,29,3,"Hardly any","Grad/Prof Degree","White"
2010,22,5,"Only some","Bachelor's Degree","White"
2010,23,4,"Only some","HS Diploma","Black"
2010,29,3,"Hardly any","HS Diploma","Black"
2010,56,2,"Hardly any","HS Diploma","Hispanic"
2010,34,5,"A great deal","HS Diploma","Other"
2010,38,4,"Only some","Less than HS","Hispanic"
2010,64,2,"Hardly any","Less than HS","Hispanic"
2010,31,3,"Hardly any","HS Diploma","Black"
2010,29,6,"Hardly any","Bachelor's Degree","White"
2010,44,5,"Only some","Some College","White"
2010,48,1,"Hardly any","Grad/Prof Degree","White"
2010,58,7,"Only some","Grad/Prof Degree","White"
2010,43,3,"Hardly any","HS Diploma","White"
2010,30,5,"Hardly any","HS Diploma","White"
2010,47,4,"Only some","HS Diploma","White"
2010,60,7,"A great deal","HS Diploma","Black"
2010,56,2,"A great deal","Grad/Prof Degree","Black"
2010,50,6,"Hardly any","Grad/Prof Degree","Other"
2010,50,7,"Hardly any","Grad/Prof Degree","White"
2010,77,6,"Only some","Bachelor's Degree","White"
2010,32,6,"Hardly any","HS Diploma","White"
2010,21,4,"Only some","HS Diploma","White"
2010,37,5,"Only some","Bachelor's Degree","White"
2010,54,6,"Hardly any","Bachelor's Degree","White"
2010,25,4,"A great deal","Some College","White"
2010,28,5,"Only some","Some College","White"
2010,60,3,"Hardly any","Grad/Prof Degree","White"
2010,83,1,"Only some","Less than HS","White"
2010,56,2,"Hardly any","Less than HS","White"
2010,45,1,"Hardly any","HS Diploma","White"
2010,49,5,"Hardly any","HS Diploma","White"
2010,23,7,"Only some","HS Diploma","White"
2010,74,2,"Hardly any","HS Diploma","White"
2010,45,7,"Hardly any","Some College","White"
2010,54,7,"Hardly any","HS Diploma","White"
2010,27,3,"Hardly any","Bachelor's Degree","White"
2010,28,3,"Hardly any","Bachelor's Degree","White"
2010,63,2,"Only some","HS Diploma","White"
2010,70,4,"Hardly any","Grad/Prof Degree","White"
2010,24,3,"Only some","HS Diploma","White"
2010,74,6,"Hardly any","Bachelor's Degree","White"
2010,55,3,"Hardly any","Bachelor's Degree","White"
2010,32,3,"Only some","Some College","Black"
2010,20,2,"Hardly any","HS Diploma","Hispanic"
2010,27,1,"Only some","HS Diploma","Black"
2010,36,3,"Only some","Some College","White"
2010,51,3,"Only some","HS Diploma","White"
2010,58,2,"Hardly any","HS Diploma","White"
2010,41,5,"Hardly any","HS Diploma","White"
2010,68,3,"Only some","HS Diploma","White"
2010,63,3,"Only some","HS Diploma","Black"
2010,56,1,"Hardly any","Some College","Black"
2010,35,2,"Only some","HS Diploma","White"
2010,72,3,"Hardly any","Less than HS","White"
2010,70,5,"Only some","HS Diploma","White"
2010,32,6,"A great deal","Bachelor's Degree","White"
2010,56,2,"Only some","Grad/Prof Degree","White"
2010,49,6,"Only some","Bachelor's Degree","White"
2010,25,4,NA,"HS Diploma","Other"
2010,51,6,"Only some","Some College","Black"
2010,55,4,"Only some","Grad/Prof Degree","White"
2010,24,5,"A great deal","Bachelor's Degree","White"
2010,40,3,"Hardly any","Bachelor's Degree","White"
2010,22,2,"A great deal","Bachelor's Degree","White"
2010,88,7,"Hardly any","Less than HS","White"
2010,35,1,"A great deal","HS Diploma","Hispanic"
2010,59,6,"Hardly any","Grad/Prof Degree","White"
2010,46,4,"Hardly any","HS Diploma","White"
2010,50,4,"Only some","Grad/Prof Degree","White"
2010,59,5,"Only some","Grad/Prof Degree","White"
2010,76,3,"Only some","Grad/Prof Degree","White"
2010,23,7,"Hardly any","HS Diploma","White"
2010,76,7,"Only some","HS Diploma","White"
2010,56,2,"Hardly any","HS Diploma","White"
2010,21,5,"Only some","HS Diploma","White"
2010,56,3,"Only some","Grad/Prof Degree","White"
2010,30,3,"Only some","Grad/Prof Degree","Other"
2010,25,4,"Only some","Grad/Prof Degree","Other"
2010,22,3,"Only some","HS Diploma","White"
