"countyfips","vaccine_rate","fullvaccine_rate"
21039,40,35.7
21041,50.1,43.7
21043,48,40.1
21045,36.3,30.8
21047,33.4,29.2
21049,58.2,51.3
21051,43.4,37.3
21053,40,33.9
21055,40.1,35
21057,42,37.8
21059,55,49.5
21061,37.1,33.4
21063,34.5,29.8
21065,50.3,44.1
21067,74.8,63.4
21069,50.4,44.3
21071,56.8,49.6
21073,78.4,69.4
21075,57.7,49.1
21077,42.5,38.1
21079,49.3,43.4
21081,51.3,45.7
21083,44.5,39
21085,50.3,43.6
21087,42.4,37.5
21089,52.7,43.4
21091,59,52.9
21093,64.5,55.3
21095,45.9,38.8
21097,48.3,42.6
21099,35.6,30.8
21101,49.3,43.9
21103,57.6,51.2
21105,35.9,32.1
21107,51.6,46
21109,34.9,30.3
21111,68.8,59.3
21113,58.3,50.4
21115,50.2,42.5
21117,69.2,61.5
21119,47.6,41.7
21121,35.7,31.3
21123,45.7,41
21125,41,36.3
21127,46.1,38.7
21129,48.1,42.8
21131,53.2,44.8
21133,52,46.1
21135,36.6,32.4
21137,42.2,37.1
21139,49.2,43.1
21141,52,45.9
21143,58.4,52.6
21145,56.1,49.2
21147,42,36.4
21149,49.3,44.9
21151,51.2,44.9
21153,50.2,43.4
21155,53.7,48.1
21157,54.6,47.8
21159,54.4,45.5
21161,51.8,46.6
21163,42.2,37.1
21165,45.2,40.3
21167,58.7,51.2
21169,38.9,33.8
21171,45.4,39.7
21173,49.9,44.3
21175,47.2,42.6
21177,50.2,44.7
21179,61.2,52
21181,52,46.7
21183,39.4,34.5
21185,60.6,53.9
21187,37.7,33.7
21189,44.4,39.5
21191,45.3,40.7
21193,62.3,53.6
21195,52.4,45.9
21197,53.4,46.8
21199,50.3,42.4
21201,36.9,34.2
21203,38.1,32.6
21205,52,45.7
21207,47.3,41.2
21209,66.7,57
21211,52.2,45.8
21213,51.8,46.3
21215,33,27.9
21217,53.8,46.7
21219,41.1,35.3
21221,47.2,41.3
21223,45.4,40.2
21225,39.8,35.4
21227,46.9,41.8
21229,54,47.6
21231,41.9,35.2
21233,46.3,40.6
21235,44.1,38.5
21237,53,46.1
21239,78.7,67.2
22001,51.6,46
22003,34.9,31.1
22005,49.1,43.7
22007,42.7,37.3
22009,45.6,39.1
22011,33.7,28.4
22013,46.5,41
22015,47.2,39.8
22017,47.5,41.1
22019,41.5,36.1
22021,37.5,33.3
22023,17.2,15.6
22025,40.8,35
22027,39.6,36
22029,41,34.7
22031,40.4,35.6
22033,54.8,48.7
22035,43.2,38.9
22037,39.5,35.7
22039,37.4,32.9
22041,36.2,32.2
22043,40.7,36.8
22045,45.4,39.8
22047,54.5,48.5
22049,40,36.2
22051,64.6,56.6
22053,35.2,31.6
22055,49.1,43.7
22057,44.4,38.7
22059,39.9,35.9
22061,41.7,37
22063,39.5,34.3
22065,42.7,36.4
22067,45.4,38.8
22069,41.3,36.7
22071,68.1,60
22073,44.1,38.9
22075,59.6,52.1
22077,53.6,48.9
22079,48.6,42.4
22081,35.8,31.2
22083,41.9,37.7
22085,37.2,31.5
22087,47.3,40.8
22089,54.8,48
22091,30.6,26.8
22093,53.7,44
22095,58.7,50.4
22097,40.5,35.7
22099,39.2,35.1
22101,44.7,39
22103,55.7,50
22105,46,39.9
22107,62.5,54.3
22109,45.7,38.5
22111,43.6,40
22113,37.7,32.9
22115,49.7,42.6
22117,41.3,36
22119,42.1,37.1
22121,52.5,46.9
22123,40.7,36.4
22125,88.7,80.2
22127,43.3,39
23001,64.8,59.7
23003,64.2,60.2
23005,80.5,76
23007,59.1,55.9
23009,72.6,67.7
23011,67.3,61.7
23013,78.3,73.7
23015,76.2,71.2
23017,63.9,58.6
23019,66.7,61.9
23021,59,55.1
23023,72.6,68.5
23025,57.6,53.5
23027,67.3,62.5
23029,66.4,62.1
23031,75.8,69.9
24001,52.7,48
24003,73,66.9
24005,67.8,62.6
24009,65,59.6
24011,54.6,50.7
24013,69,64.7
24015,56.7,50.6
24017,62.9,57
24019,57.9,52.5
24021,71.4,66
24023,48.2,43.4
24025,66.7,61.9
24027,79,73.7
24029,66.7,61
24031,83.7,75.9
24033,69.4,61.1
24035,63.6,58.9
24037,62.5,57.3
24039,49.5,43.5
24041,71.8,66.4
24043,55.3,50.6
24045,53.4,48.7
24047,70.4,63.9
24510,61.5,55.1
25001,6.37,5.02
25003,56.4,49.7
25005,62.9,56.2
25007,4.3,3.59
25009,71,63.8
25011,67.2,59.3
25013,64.2,56.2
25015,65.1,58.1
25017,76.7,69.3
25019,1.97,1.28
25021,75.3,68.3
25023,67.8,60.1
25025,72,63.4
25027,68.1,60
26001,51.3,50.9
26003,60.2,56.4
26005,NA,44.6
26007,48,46.5
26009,52,52
26011,46.8,44.9
26013,54.2,51.3
26015,NA,41.7
26017,51,50.2
26019,60,58.3
26021,50.5,48.3
26023,39.9,39
26025,44.4,43.8
26027,39.5,37.3
26029,NA,57.7
26031,49.7,45.9
26033,65.9,61.7
26035,NA,39.4
26037,NA,49.5
26039,45.5,43.6
26041,56.3,54.9
26043,61.2,59.1
26045,49.1,48.8
26047,65,64.6
26049,44.5,43.3
26051,NA,41.7
26053,57.5,56
26055,61.2,59.7
26057,NA,38.9
26059,34,33.4
26061,46.6,45.2
26063,48.4,47.6
26065,50.4,49.9
26067,40.2,40
26069,50.9,48.8
26071,51.6,49.9
26073,39.1,38.1
26075,NA,45.5
26077,NA,53.2
26079,42.7,41.8
26081,NA,52.8
26083,53.2,49.9
26085,52.1,51.6
26087,42.3,40.7
26089,76.2,73.4
26091,47.1,46
26093,NA,52.9
26095,42,39.4
26097,71.5,65.8
26099,50.3,50
26101,53.1,51.7
26103,59.5,57.7
26105,NA,53.3
26107,NA,35.1
26109,67,62.8
26111,50.9,50.7
26113,41.8,41.3
26115,50.9,49.2
26117,NA,35.7
26119,49,46.8
26121,NA,47.2
26123,NA,37.4
26125,59.2,58.8
26127,NA,46.1
26129,39.6,39.2
26131,64.4,62.1
26133,35.7,35.4
26135,39.4,37.5
26137,50.1,49.4
26139,NA,49.7
26141,54.5,53.4
26143,50.3,48.9
26145,46.3,46.1
26147,44.5,43.8
26149,39.2,38.7
26151,38.4,37.8
26153,49.4,45.2
26155,45.6,44.2
26157,40.5,39.2
26159,NA,48.3
26161,NA,63
26163,48.3,46.1
26165,44.3,42.9
27001,56.7,53.1
27003,53.4,49.5
27005,51.1,47
27007,59.7,50.3
27009,37.7,34
27011,60.6,57.3
27013,56.5,52.7
27015,61.3,57.6
27017,59.7,54.9
27019,61,56.1
