"county_fips","name","hhincome"
17065,"Hamilton County, IL",38719
8053,"Hinsdale County, CO",38699
8029,"Delta County, CO",38688
55071,"Manitowoc County, WI",38686
51027,"Buchanan County, VA",38660
48109,"Culberson County, TX",38641
6017,"El Dorado County, CA",38632
48207,"Haskell County, TX",38628
42091,"Montgomery County, PA",38624
48289,"Leon County, TX",38610
48335,"Mitchell County, TX",38601
19033,"Cerro Gordo County, IA",38593
40055,"Greer County, OK",38578
26109,"Menominee County, MI",38553
19087,"Henry County, IA",38551
40153,"Woodward County, OK",38538
49053,"Washington County, UT",38531
48359,"Oldham County, TX",38525
48233,"Hutchinson County, TX",38513
55087,"Outagamie County, WI",38512
39121,"Noble County, OH",38507
30067,"Park County, MT",38504
29005,"Atchison County, MO",38493
6005,"Amador County, CA",38491
20091,"Johnson County, KS",38491
48497,"Wise County, TX",38490
29063,"DeKalb County, MO",38486
42017,"Bucks County, PA",38483
40039,"Custer County, OK",38437
55023,"Crawford County, WI",38429
39111,"Monroe County, OH",38410
29045,"Clark County, MO",38391
17047,"Edwards County, IL",38387
8045,"Garfield County, CO",38385
19071,"Fremont County, IA",38367
27115,"Pine County, MN",38357
17193,"White County, IL",38345
20151,"Pratt County, KS",38341
30037,"Golden Valley County, MT",38330
19133,"Monona County, IA",38290
27057,"Hubbard County, MN",38274
26061,"Houghton County, MI",38266
20087,"Jefferson County, KS",38264
20041,"Dickinson County, KS",38258
8015,"Chaffee County, CO",38247
35015,"Eddy County, NM",38243
27165,"Watonwan County, MN",38233
26053,"Gogebic County, MI",38222
42005,"Armstrong County, PA",38209
17053,"Ford County, IL",38203
55055,"Jefferson County, WI",38200
16011,"Bingham County, ID",38190
17049,"Effingham County, IL",38185
36087,"Rockland County, NY",38177
49019,"Grand County, UT",38119
20009,"Barton County, KS",38118
51017,"Bath County, VA",38111
42125,"Washington County, PA",38111
48503,"Young County, TX",38108
35025,"Lea County, NM",38107
48171,"Gillespie County, TX",38098
44001,"Bristol County, RI",38080
27099,"Mower County, MN",38075
42067,"Juniata County, PA",38044
8093,"Park County, CO",38033
20159,"Rice County, KS",38019
42103,"Pike County, PA",38012
42105,"Potter County, PA",37985
36121,"Wyoming County, NY",37979
36103,"Suffolk County, NY",37974
42019,"Butler County, PA",37974
48133,"Eastland County, TX",37958
48059,"Callahan County, TX",37957
42129,"Westmoreland County, PA",37954
6043,"Mariposa County, CA",37952
32007,"Elko County, NV",37951
55047,"Green Lake County, WI",37940
51013,"Arlington County, VA",37934
8073,"Lincoln County, CO",37931
50023,"Washington County, VT",37912
29003,"Andrew County, MO",37904
48239,"Jackson County, TX",37897
48415,"Scurry County, TX",37897
51735,"Poquoson city, VA",37876
55117,"Sheboygan County, WI",37874
22085,"Sabine Parish, LA",37869
48377,"Presidio County, TX",37867
25007,"Dukes County, MA",37846
17111,"McHenry County, IL",37844
16017,"Bonner County, ID",37829
19039,"Clarke County, IA",37823
22123,"West Carroll Parish, LA",37819
39055,"Geauga County, OH",37816
55115,"Shawano County, WI",37791
27035,"Crow Wing County, MN",37784
42065,"Jefferson County, PA",37773
34035,"Somerset County, NJ",37758
29135,"Moniteau County, MO",37756
6059,"Orange County, CA",37753
39011,"Auglaize County, OH",37750
40029,"Coal County, OK",37733
6061,"Placer County, CA",37733
41037,"Lake County, OR",37709
8081,"Moffat County, CO",37692
20097,"Kiowa County, KS",37686
30053,"Lincoln County, MT",37682
48087,"Collingsworth County, TX",37677
31157,"Scotts Bluff County, NE",37674
29171,"Putnam County, MO",37673
55039,"Fond du Lac County, WI",37673
17155,"Putnam County, IL",37672
19115,"Louisa County, IA",37667
48047,"Brooks County, TX",37661
19099,"Jasper County, IA",37646
19007,"Appanoose County, IA",37630
55007,"Bayfield County, WI",37608
32015,"Lander County, NV",37608
55041,"Forest County, WI",37604
49021,"Iron County, UT",37594
30093,"Silver Bow County, MT",37585
48111,"Dallam County, TX",37574
18147,"Spencer County, IN",37566
42115,"Susquehanna County, PA",37564
41049,"Morrow County, OR",37562
51091,"Highland County, VA",37551
29033,"Carroll County, MO",37539
48249,"Jim Wells County, TX",37535
48427,"Starr County, TX",37528
19045,"Clinton County, IA",37524
18027,"Daviess County, IN",37524
48151,"Fisher County, TX",37518
55027,"Dodge County, WI",37505
18181,"White County, IN",37494
20003,"Anderson County, KS",37493
16031,"Cassia County, ID",37488
8037,"Eagle County, CO",37487
30111,"Yellowstone County, MT",37470
8069,"Larimer County, CO",37460
48391,"Refugio County, TX",37455
42025,"Carbon County, PA",37444
31153,"Sarpy County, NE",37425
8097,"Pitkin County, CO",37422
48381,"Randall County, TX",37394
27075,"Lake County, MN",37392
22059,"LaSalle Parish, LA",37371
17109,"McDonough County, IL",37369
30029,"Flathead County, MT",37367
24027,"Howard County, MD",37366
40017,"Canadian County, OK",37352
39067,"Harrison County, OH",37342
16085,"Valley County, ID",37339
17173,"Shelby County, IL",37319
55037,"Florence County, WI",37312
27003,"Anoka County, MN",37294
9013,"Tolland County, CT",37289
