"id","hrs1","class","region","racehisp"
1372,37,"Middle","West","White"
1373,40,"Middle","West","White"
1374,38,"Middle","West","White"
1375,62,"Working","West","White"
1377,20,"Upper","West","White"
1379,10,"Middle","West","White"
1380,40,"Working","West","Black"
1382,50,"Middle","West","Hispanic"
1383,50,"Middle","West","Hispanic"
1384,32,"Working","West","White"
1392,40,"Middle","West","White"
1393,20,"Working","West","White"
1394,40,"Middle","West","White"
1396,56,"Working","West","White"
1397,40,"Working","West","White"
1398,50,"Middle","West","White"
1401,45,"Middle","West","White"
1403,20,"Middle","West","White"
1404,32,"Middle","West","White"
1405,40,"Working","West","White"
